n,alpha,beta,density,seed,base_cost,my_cost,rival_cost,gap_perc,status,time
10,0.0,1.0,0.2,4838,14.95,4.48,4.48,-0.00,WIN (BOTH),3.4912
10,0.0,0.5,1.0,5930,7.05,2.86,2.86,0.00,WIN (BOTH),4.0147
10,0.0,0.5,0.5,2458,7.46,3.47,3.47,0.00,WIN (BOTH),4.2446
10,0.0,0.5,0.2,5548,10.99,5.11,5.11,0.00,WIN (BOTH),3.9871
10,0.0,1.0,0.5,18,10.14,3.86,3.86,0.00,WIN (BOTH),3.3874
10,0.0,2.0,0.2,1834,9.25,4.45,4.45,0.00,WIN (BOTH),3.4095
10,0.0,1.0,1.0,9390,7.12,2.73,2.73,0.00,WIN (BOTH),3.4104
10,0.0,2.0,0.5,5532,9.69,4.69,4.69,0.00,WIN (BOTH),3.4432
10,0.0,2.0,1.0,9285,7.16,3.22,3.22,0.00,WIN (BOTH),3.4275
10,0.0,4.0,0.5,7704,9.21,3.01,3.01,0.00,WIN (BOTH),3.4008
10,0.0,4.0,0.2,8154,19.41,6.42,6.42,0.00,WIN (BOTH),3.4303
10,0.0,4.0,1.0,4851,5.65,2.64,2.64,0.00,WIN (BOTH),3.3745
10,1.0,0.5,0.2,3664,235.76,177.95,179.58,-0.91,WIN (BOTH),3.9731
10,1.0,0.5,0.5,3158,173.95,161.21,160.92,0.18,BEAT BASE,3.9674
10,1.0,1.0,0.2,1742,4044.18,4038.77,4038.41,0.01,BEAT BASE,3.4288
10,1.0,0.5,1.0,2122,117.70,105.87,105.87,0.00,WIN (BOTH),3.9251
10,1.0,1.0,1.0,8399,1620.79,1620.79,1620.79,0.00,WIN (BOTH),3.3977
10,1.0,1.0,0.5,6836,1277.96,1277.03,1276.80,0.02,BEAT BASE,3.3821
10,1.0,2.0,1.0,1128,465093.01,368712.93,2195.23,16696.08,BEAT BASE,3.3947
10,2.0,0.5,0.2,4128,368.32,270.23,274.88,-1.69,WIN (BOTH),3.9562
10,1.0,4.0,1.0,520,38104542268.01,37620087739.95,2259.03,1665320889.10,BEAT BASE,3.4555
10,2.0,0.5,0.5,8607,256.93,208.62,226.38,-7.85,WIN (BOTH),3.9533
10,1.0,2.0,0.5,7094,702909.89,702909.89,4914.39,14203.10,BEAT BASE,3.3431
10,1.0,4.0,0.2,3670,4210903389.54,4138822677.71,1403.13,294969648.86,BEAT BASE,3.4300
10,1.0,4.0,0.5,1398,248499299760.69,184722740785.27,4854.01,3805572848.99,BEAT BASE,3.4464
10,1.0,2.0,0.2,8832,2052397.15,2052397.15,14012.44,14546.96,BEAT BASE,3.4649
10,2.0,0.5,1.0,1897,158.44,155.07,154.89,0.11,BEAT BASE,3.9606
10,2.0,1.0,0.2,9533,13445.04,13437.50,13437.24,0.00,BEAT BASE,3.4125
10,2.0,1.0,1.0,2692,3513.53,3513.53,3513.53,0.00,WIN (BOTH),3.3402
10,2.0,1.0,0.5,6156,3920.22,3918.40,3918.18,0.01,BEAT BASE,3.5098
10,4.0,0.5,0.5,688,239.00,210.21,210.21,0.00,WIN (BOTH),3.8990
10,4.0,0.5,0.2,9798,391.32,297.22,307.11,-3.22,WIN (BOTH),4.0385
10,2.0,2.0,0.5,9723,2335776.38,2112057.69,7781.68,27041.41,BEAT BASE,3.3585
10,2.0,2.0,1.0,9325,1872674.44,1853307.53,6116.68,30199.24,BEAT BASE,3.4000
10,4.0,1.0,0.2,6963,16600.05,16594.25,16594.25,0.00,WIN (BOTH),3.4342
10,4.0,0.5,1.0,7778,256.81,248.04,246.27,0.72,BEAT BASE,3.9374
10,2.0,4.0,1.0,4387,1886874131563.45,1467277592321.38,6518.95,22507889808.78,BEAT BASE,3.4276
10,4.0,1.0,0.5,6002,7131.10,7130.31,7129.88,0.01,BEAT BASE,3.4459
10,2.0,2.0,0.2,9885,5398463.50,5398463.50,14298.29,37656.00,LOSE,3.4349
10,4.0,1.0,1.0,2994,6034.62,6034.62,6034.62,-0.00,WIN (BOTH),3.4118
10,2.0,4.0,0.5,3853,1630800432191.50,1459030789946.36,6660.37,21906159491.28,BEAT BASE,3.4047
10,2.0,4.0,0.2,2801,6677490756691.61,5218719079687.03,14446.02,36125645172.23,BEAT BASE,3.3495
10,4.0,2.0,1.0,4957,7017449.05,6906972.17,11385.67,60563.74,BEAT BASE,3.6813
10,4.0,2.0,0.2,1372,6501947.97,6501947.97,14146.94,45860.09,LOSE,4.0630
10,4.0,4.0,0.5,6133,6124559029124.49,5723654297210.70,12588.28,45468108427.14,BEAT BASE,3.3858
10,4.0,2.0,0.5,3721,16673523.90,16673523.90,19410.24,85800.67,LOSE,3.3389
10,4.0,4.0,1.0,8968,28364107487715.90,25020927910627.03,12669.14,197495104003.38,BEAT BASE,3.3898
10,4.0,4.0,0.2,7569,47863286597787.09,44491523801750.89,24571.54,181069364522.93,BEAT BASE,3.4064
