n,alpha,beta,density,seed,base_cost,my_cost,rival_cost,gap_perc,status,time
50,0.0,0.5,0.2,7439,60.09,13.61,12.82,6.12,BEAT BASE,36.5026
50,0.0,0.5,0.5,577,36.15,8.39,8.10,3.58,BEAT BASE,35.1402
50,0.0,1.0,0.2,4647,61.12,12.84,12.53,2.46,BEAT BASE,28.8269
50,0.0,0.5,1.0,6048,39.60,6.09,5.96,2.12,BEAT BASE,33.7250
50,0.0,2.0,0.2,273,85.77,85.77,17.13,400.75,BEAT BASE,0.0278
50,0.0,1.0,0.5,6430,35.73,8.70,8.49,2.44,BEAT BASE,28.2708
50,0.0,2.0,0.5,3847,43.95,43.95,10.37,323.65,LOSE,0.0416
50,0.0,1.0,1.0,6050,35.83,5.68,5.57,1.94,BEAT BASE,26.6985
50,0.0,2.0,1.0,7406,37.31,37.31,8.15,357.71,LOSE,0.0673
50,0.0,4.0,0.2,3632,53.48,53.48,17.14,212.03,BEAT BASE,0.0299
50,0.0,4.0,0.5,6637,40.72,40.72,10.24,297.55,BEAT BASE,0.0406
50,0.0,4.0,1.0,9917,36.12,36.12,8.14,343.67,BEAT BASE,0.0671
50,1.0,0.5,0.2,8790,1529.80,1058.50,1180.56,-10.34,WIN (BOTH),35.9441
50,1.0,0.5,0.5,7678,830.76,664.68,721.10,-7.82,WIN (BOTH),35.2786
50,1.0,1.0,0.2,5930,13048.90,13036.19,13033.55,0.02,BEAT BASE,28.2171
50,1.0,0.5,1.0,3164,696.75,611.26,614.82,-0.58,WIN (BOTH),34.0793
50,1.0,1.0,0.5,1703,7999.81,7994.26,7993.43,0.01,BEAT BASE,29.2103
50,1.0,1.0,1.0,3577,9543.04,9536.13,9535.69,0.00,BEAT BASE,28.3138
50,1.0,2.0,1.0,9515,2613499.82,18228.52,11667.79,56.23,BEAT BASE,8.5200
50,1.0,2.0,0.5,300,2495961.70,20158.77,16220.07,24.28,BEAT BASE,5.0023
50,1.0,4.0,1.0,3720,482646557441.32,18951.94,10871.08,74.33,BEAT BASE,9.4275
50,1.0,4.0,0.5,7475,274772350305.36,16977.71,10372.60,63.68,BEAT BASE,5.2925
50,1.0,2.0,0.2,1633,4129983.01,30948.43,26535.49,16.63,BEAT BASE,2.5305
50,2.0,0.5,0.2,1326,1457.74,1030.38,1186.94,-13.19,WIN (BOTH),35.9360
50,2.0,0.5,0.5,5429,1208.16,948.33,995.93,-4.78,WIN (BOTH),35.1312
50,1.0,4.0,0.2,1801,391172495607.45,21764.12,15137.35,43.78,BEAT BASE,3.0938
50,2.0,0.5,1.0,6862,908.77,803.54,809.61,-0.75,WIN (BOTH),34.2487
50,2.0,1.0,0.2,3205,21364.36,21357.75,21356.26,0.01,BEAT BASE,29.4182
50,2.0,1.0,0.5,9155,26836.49,26825.10,26824.75,0.00,BEAT BASE,29.1235
50,2.0,1.0,1.0,6158,18326.82,18324.10,18323.43,0.00,BEAT BASE,29.7920
50,4.0,0.5,0.2,5844,2742.03,1967.86,2218.16,-11.28,WIN (BOTH),36.5469
50,4.0,0.5,0.5,9407,1640.75,1350.70,1458.02,-7.36,WIN (BOTH),34.8338
50,2.0,2.0,1.0,8140,7614192.28,31096.72,22739.76,36.75,BEAT BASE,8.5693
50,2.0,2.0,0.5,3900,11764062.08,42689.70,37234.70,14.65,BEAT BASE,5.6368
50,4.0,0.5,1.0,8946,1173.62,1038.94,1048.01,-0.87,WIN (BOTH),34.4918
50,2.0,4.0,0.5,2281,5086138154752.13,55770.54,18968.75,194.01,BEAT BASE,4.9888
50,2.0,2.0,0.2,6096,21171738.00,72743.64,66481.77,9.42,BEAT BASE,3.3030
50,4.0,1.0,0.2,3736,73615.58,73597.59,73595.93,0.00,BEAT BASE,29.8602
50,4.0,1.0,0.5,9618,36228.24,36224.79,36224.10,0.00,BEAT BASE,30.3743
50,2.0,4.0,1.0,7735,6075576820083.65,63680.60,18034.60,253.10,BEAT BASE,9.1687
50,2.0,4.0,0.2,2228,5252461221555.89,62336.27,33817.85,84.33,BEAT BASE,3.2674
50,4.0,1.0,1.0,1087,38096.86,38094.89,38094.86,0.00,BEAT BASE,29.2917
50,4.0,2.0,1.0,32,39482753.49,99969.24,47200.81,111.80,BEAT BASE,9.3738
50,4.0,4.0,1.0,9542,71681006867294.25,618217.33,36694.60,1584.76,BEAT BASE,8.7415
50,4.0,2.0,0.5,2899,38963087.24,96288.88,50836.26,89.41,BEAT BASE,4.9441
50,4.0,4.0,0.5,3162,58115532475339.85,505847.52,39922.18,1167.08,BEAT BASE,5.5652
50,4.0,2.0,0.2,9948,55468442.01,133592.91,87363.59,52.92,BEAT BASE,2.4783
50,4.0,4.0,0.2,2407,80231012196994.03,696369.50,93832.61,642.14,BEAT BASE,2.9719
